Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2020,2020 HWC,Overweight or Obesity - Youth,Alabama,39,34,0.71,39.6,28.5,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Alaska,20,29.3,-0.4,34.4,24.2,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Arizona,8,25.5,-1.3,30.3,20.6,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Arkansas,38,33.9,0.69,38.6,29.3,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,California,29,30.8,-0.05,36.5,25.2,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Colorado,6,24.7,-1.49,30,19.3,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Connecticut,14,28.8,-0.52,33.9,23.7,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Delaware,26,30.6,-0.09,36.1,25.2,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Florida,25,30.3,-0.17,35.3,25.2,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Georgia,31,31.3,0.07,36.3,26.3,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
2020,2020 HWC,Overweight or Obesity - Youth,Hawaii,3,23.1,-1.87,28.1,18,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)",2018-2019
