edition,report_type,measure_name,state_name,value,source,source_year
2018,2018 HWC,Postpartum Depression,Kansas,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Nevada,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,New Jersey,9.5,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Michigan,14.1,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,New York,12.2,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Maryland,11.9,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Mississippi,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,North Dakota,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Louisiana,15.3,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Montana,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Arizona,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Indiana,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Alabama,16.3,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,District of Columbia,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Connecticut,10.4,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Idaho,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,California,13,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Georgia,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Utah,12.1,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Rhode Island,11.2,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,Virginia,11.7,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
2018,2018 HWC,Postpartum Depression,South Dakota,,"CDC and States, Pregnancy Risk Assessment Monitoring System or equivalent",2015
