Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 Senior,Able-bodied,Alaska,43,60.4,-1.32,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Alabama,46,59.3,-1.65,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,United States,,64.8,,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Arkansas,45,59.6,-1.56,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Arizona,21,65.7,0.27,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,California,30,64.4,-0.12,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Colorado,4,68.7,1.17,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Connecticut,8,68.3,1.05,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,District of Columbia,,66,,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Delaware,2,68.9,1.23,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Florida,15,66.9,0.63,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Georgia,35,63.5,-0.39,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Hawaii,21,65.7,0.27,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Iowa,10,68.1,0.99,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Idaho,33,63.9,-0.27,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Illinois,18,66.2,0.42,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Indiana,37,62.9,-0.57,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Kansas,27,65.1,0.09,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Kentucky,49,57.7,-2,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Louisiana,42,60.5,-1.29,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Massachusetts,11,68,0.96,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Maryland,4,68.7,1.17,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Maine,16,66.6,0.54,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Michigan,26,65.2,0.12,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Minnesota,4,68.7,1.17,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Missouri,36,63.3,-0.45,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Mississippi,47,59.1,-1.71,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Montana,23,65.5,0.21,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,North Carolina,32,64.2,-0.18,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,North Dakota,20,65.8,0.3,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Nebraska,23,65.5,0.21,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,New Hampshire,1,69,1.26,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,New Jersey,12,67.9,0.93,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,New Mexico,44,59.8,-1.5,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Nevada,28,64.9,0.03,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,New York,14,67.1,0.69,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Ohio,29,64.7,-0.03,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Oklahoma,48,57.9,-2,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Oregon,38,62.6,-0.66,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Pennsylvania,25,65.4,0.18,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,Rhode Island,7,68.4,1.08,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,South Carolina,34,63.8,-0.3,,,"U.S. Census Bureau, American Community Survey",2016
2018,2018 Senior,Able-bodied,South Dakota,17,66.3,0.45,,,"U.S. Census Bureau, American Community Survey",2016
