Diagnosed Diabetes; Age; Adults with Diabetes; Percentage; Texas
Data downloaded on 22-September-2020
Year,75+ - Percentage,75+ - Lower Limit,75+ - Upper Limit,
1994,No Data,No Data,No Data,
1995,No Data,No Data,No Data,
1996,No Data,No Data,No Data,
1997,11.5,7.1,18.2,
1998,10.1,6.8,14.5,
1999,16.0,11.9,21.2,
2000,10.2,7.1,14.4,
2001,15.2,11.8,19.4,
2002,16.3,12.7,20.7,
2003,16.3,12.8,20.5,
2004,14.6,11.3,18.6,
2005,14.6,11.9,17.9,
2006,16.9,13.5,20.9,
2007,20.6,18.3,23.1,
2008,21.1,18.2,24.3,
2009,19.8,17.0,23.0,
2010,22.6,20.2,25.2,
2011,20.1,17.5,23.1,
2012,22.8,19.6,26.3,
2013,25.4,21.5,29.7,
2014,22.4,19.3,25.8,
2015,23.3,19.9,27.0,
2016,23.2,18.8,28.3,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
