"Edition","Report Type","Indicator","States","Region ID","Value","Source","Source Year"
"2012","2012 Annual","Diabetes - Ages 65+","New York","US_NY","23","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Diabetes - Ages 65+","New York","US_NY","22","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","New York","US_NY","23.4","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","New York","US_NY","22.7","CDC, Behavioral Risk Factor Surveillance System","2014"
"2016","2016 Annual","Diabetes - Ages 65+","New York","US_NY","21.1","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","New York","US_NY","23.3","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","New York","US_NY","23.4","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","New York","US_NY","24.1","CDC, Behavioral Risk Factor Surveillance System","2018"
"2012","2012 Annual","Diabetes - Ages 65+","California","US_CA","20.6","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","California","US_CA","21.9","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Diabetes - Ages 65+","California","US_CA","22.4","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","California","US_CA","20.6","CDC, Behavioral Risk Factor Surveillance System",""
"2018","2018 Annual","Diabetes - Ages 65+","California","US_CA","23.9","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","California","US_CA","23.8","CDC, Behavioral Risk Factor Surveillance System","2018"
"2016","2016 Annual","Diabetes - Ages 65+","California","US_CA","23.6","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","California","US_CA","24.2","CDC, Behavioral Risk Factor Surveillance System","2016"
"2017","2017 Annual","Diabetes - Ages 65+","Ohio","US_OH","22.8","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Diabetes - Ages 65+","Ohio","US_OH","23.3","CDC, Behavioral Risk Factor Surveillance System","2015"
"2019","2019 Annual","Diabetes - Ages 65+","Ohio","US_OH","24.7","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Diabetes - Ages 65+","Ohio","US_OH","22.9","CDC, Behavioral Risk Factor Surveillance System","2017"
"2012","2012 Annual","Diabetes - Ages 65+","Ohio","US_OH","20.8","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","Ohio","US_OH","24","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Diabetes - Ages 65+","Ohio","US_OH","24","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","Ohio","US_OH","23.4","CDC, Behavioral Risk Factor Surveillance System",""
"2016","2016 Annual","Diabetes - Ages 65+","Georgia","GE","25.5","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","Georgia","GE","27.2","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","Georgia","GE","24.5","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","Georgia","GE","29.1","CDC, Behavioral Risk Factor Surveillance System","2018"
"2015","2015 Annual","Diabetes - Ages 65+","Georgia","GE","25.9","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Diabetes - Ages 65+","Georgia","GE","23","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","Georgia","GE","24.8","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Diabetes - Ages 65+","Georgia","GE","25.9","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Diabetes - Ages 65+","Illinois","US_IL","22.2","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Diabetes - Ages 65+","Illinois","US_IL","24.5","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","Illinois","US_IL","20.8","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","Illinois","US_IL","23.6","CDC, Behavioral Risk Factor Surveillance System","2014"
"2016","2016 Annual","Diabetes - Ages 65+","Illinois","US_IL","24.6","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","Illinois","US_IL","22.5","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","Illinois","US_IL","21.6","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","Illinois","US_IL","21.9","CDC, Behavioral Risk Factor Surveillance System","2018"
"2012","2012 Annual","Diabetes - Ages 65+","Texas","US_TX","21.6","CDC, Behavioral Risk Factor Surveillance System",""
"2013","2013 Annual","Diabetes - Ages 65+","Texas","US_TX","24.9","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Diabetes - Ages 65+","Texas","US_TX","24.9","CDC, Behavioral Risk Factor Surveillance System","2013"
"2015","2015 Annual","Diabetes - Ages 65+","Texas","US_TX","25.2","CDC, Behavioral Risk Factor Surveillance System","2014"
"2016","2016 Annual","Diabetes - Ages 65+","Texas","US_TX","24.8","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","Texas","US_TX","25.7","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","Texas","US_TX","27.7","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","Texas","US_TX","29.5","CDC, Behavioral Risk Factor Surveillance System","2018"
"2016","2016 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","23.4","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","24.3","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","21.5","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","21.4","CDC, Behavioral Risk Factor Surveillance System","2018"
"2015","2015 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","22.9","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","20.9","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","21.5","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Diabetes - Ages 65+","Pennsylvania","US_PA","21.6","CDC, Behavioral Risk Factor Surveillance System",""
"2018","2018 Annual","Diabetes - Ages 65+","North Carolina","US_NC","22.7","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","North Carolina","US_NC","25.8","CDC, Behavioral Risk Factor Surveillance System","2018"
"2017","2017 Annual","Diabetes - Ages 65+","North Carolina","US_NC","23","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Diabetes - Ages 65+","North Carolina","US_NC","23.5","CDC, Behavioral Risk Factor Surveillance System","2015"
"2013","2013 Annual","Diabetes - Ages 65+","North Carolina","US_NC","22","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Diabetes - Ages 65+","North Carolina","US_NC","24.6","CDC, Behavioral Risk Factor Surveillance System","2013"
"2015","2015 Annual","Diabetes - Ages 65+","North Carolina","US_NC","21.5","CDC, Behavioral Risk Factor Surveillance System","2014"
"2012","2012 Annual","Diabetes - Ages 65+","North Carolina","US_NC","23.2","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Diabetes - Ages 65+","Florida","US_FL","21.6","CDC, Behavioral Risk Factor Surveillance System",""
