"Edition","Report Type","Indicator","States","Region ID","Value","Source","Source Year"
"2012","2012 Annual","Diabetes - Ages 65+","New York","US_NY","23","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Diabetes - Ages 65+","New York","US_NY","22","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","New York","US_NY","23.4","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","New York","US_NY","22.7","CDC, Behavioral Risk Factor Surveillance System","2014"
"2016","2016 Annual","Diabetes - Ages 65+","New York","US_NY","21.1","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","New York","US_NY","23.3","CDC, Behavioral Risk Factor Surveillance System","2016"
"2018","2018 Annual","Diabetes - Ages 65+","New York","US_NY","23.4","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","New York","US_NY","24.1","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Dedicated HC Provider - 65+","Texas","US_TX","93.4","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Dedicated HC Provider - 65+","Texas","US_TX","91.6","CDC, Behavioral Risk Factor Surveillance System","2018"
"2017","2017 Annual","Dedicated HC Provider - 65+","Texas","US_TX","92.9","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Dedicated HC Provider - 65+","Texas","US_TX","91.5","CDC, Behavioral Risk Factor Surveillance System","2015"
"2015","2015 Annual","Dedicated HC Provider - 65+","Texas","US_TX","90.7","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Dedicated HC Provider - 65+","Texas","US_TX","91.5","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Dedicated HC Provider - 65+","Texas","US_TX","93.9","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Dedicated HC Provider - 65+","Texas","US_TX","93.1","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","95.2","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","95.2","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","94.9","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","95","CDC, Behavioral Risk Factor Surveillance System",""
"2016","2016 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","96.1","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","95","CDC, Behavioral Risk Factor Surveillance System","2016"
"2019","2019 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","93.7","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Dedicated HC Provider - 65+","Ohio","US_OH","95.8","CDC, Behavioral Risk Factor Surveillance System","2017"
"2012","2012 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","95.5","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","95.3","CDC, Behavioral Risk Factor Surveillance System","2014"
"2013","2013 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","94.4","CDC, Behavioral Risk Factor Surveillance System",""
"2014","2014 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","94.5","CDC, Behavioral Risk Factor Surveillance System","2013"
"2017","2017 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","95.8","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","95.1","CDC, Behavioral Risk Factor Surveillance System","2015"
"2018","2018 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","95.4","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Dedicated HC Provider - 65+","North Carolina","US_NC","96.3","CDC, Behavioral Risk Factor Surveillance System","2018"
"2019","2019 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","8.3","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","8.1","CDC, Behavioral Risk Factor Surveillance System","2017"
"2017","2017 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","5.9","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","6.6","CDC, Behavioral Risk Factor Surveillance System","2015"
"2014","2014 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","7.5","CDC, Behavioral Risk Factor Surveillance System","2013"
"2015","2015 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","7.2","CDC, Behavioral Risk Factor Surveillance System","2014"
"2013","2013 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","7.3","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Frequent Mental Distress - Ages 65+","Pennsylvania","US_PA","7.7","CDC, Behavioral Risk Factor Surveillance System",""
"2012","2012 Annual","Diabetes - Ages 65+","California","US_CA","20.6","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Diabetes - Ages 65+","California","US_CA","21.9","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Diabetes - Ages 65+","California","US_CA","22.4","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Diabetes - Ages 65+","California","US_CA","20.6","CDC, Behavioral Risk Factor Surveillance System",""
"2018","2018 Annual","Diabetes - Ages 65+","California","US_CA","23.9","CDC, Behavioral Risk Factor Surveillance System","2017"
"2019","2019 Annual","Diabetes - Ages 65+","California","US_CA","23.8","CDC, Behavioral Risk Factor Surveillance System","2018"
"2016","2016 Annual","Diabetes - Ages 65+","California","US_CA","23.6","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Diabetes - Ages 65+","California","US_CA","24.2","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","95.4","CDC, Behavioral Risk Factor Surveillance System","2015"
"2017","2017 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","95.7","CDC, Behavioral Risk Factor Surveillance System","2016"
"2019","2019 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","93.5","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","94.7","CDC, Behavioral Risk Factor Surveillance System","2017"
"2014","2014 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","95.7","CDC, Behavioral Risk Factor Surveillance System","2013"
"2013","2013 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","95.5","CDC, Behavioral Risk Factor Surveillance System",""
"2015","2015 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","95.3","CDC, Behavioral Risk Factor Surveillance System","2014"
"2012","2012 Annual","Dedicated HC Provider - 65+","Illinois","US_IL","94.9","CDC, Behavioral Risk Factor Surveillance System",""
"2019","2019 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","93.6","CDC, Behavioral Risk Factor Surveillance System","2018"
"2018","2018 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","94","CDC, Behavioral Risk Factor Surveillance System","2017"
"2017","2017 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","95","CDC, Behavioral Risk Factor Surveillance System","2016"
"2016","2016 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","94.1","CDC, Behavioral Risk Factor Surveillance System","2015"
"2015","2015 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","93.1","CDC, Behavioral Risk Factor Surveillance System","2014"
"2014","2014 Annual","Dedicated HC Provider - 65+","Virginia","US_VA","93.9","CDC, Behavioral Risk Factor Surveillance System","2013"
