Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2019,2019 HWC,Adequate Health Insurance,Alaska,8,78.5,1,81.5,75.5,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Alabama,2,81.2,1.63,84.2,78.1,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,United States,,74.4,,75.1,73.6,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Arkansas,6,78.9,1.08,82.2,75.6,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Arizona,35,72.1,-0.54,75.5,68.7,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,California,9,78.1,0.9,81.3,74.9,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Colorado,46,68.5,-1.39,72,65.1,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Connecticut,36,71.9,-0.58,75.3,68.6,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,District of Columbia,,82.0,,85.3,78.7,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Delaware,21,75.1,0.18,78.5,71.8,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Florida,27,74.2,-0.04,77.8,70.6,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Georgia,24,74.6,0.07,78.3,71,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 HWC,Adequate Health Insurance,Hawaii,1,82.9,2,85.7,80.1,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
