"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01000","Alabama","1,125,875","0","36,123","4,439","3.2","0.4","1,089,752","4,439","96.8","0.4"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01001","Autauga County, AL","13,741","0","350","93","2.5","0.7","13,391","93","97.5","0.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01003","Baldwin County, AL","49,241","0","1,857","430","3.8","0.9","47,384","430","96.2","0.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01005","Barbour County, AL","5,248","0","180","53","3.4","1.0","5,068","53","96.6","1.0"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01007","Bibb County, AL","4,666","0","134","41","2.9","0.9","4,532","41","97.1","0.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01009","Blount County, AL","13,914","0","622","169","4.5","1.2","13,292","169","95.5","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01011","Bullock County, AL","2,137","0","55","17","2.6","0.8","2,082","17","97.4","0.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01013","Butler County, AL","4,472","0","130","38","2.9","0.8","4,342","38","97.1","0.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01015","Calhoun County, AL","25,392","0","724","185","2.9","0.7","24,668","185","97.1","0.7"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01017","Chambers County, AL","7,138","0","196","57","2.7","0.8","6,942","57","97.3","0.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01019","Cherokee County, AL","5,224","0","189","51","3.6","1.0","5,035","51","96.4","1.0"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01021","Chilton County, AL","10,781","0","485","139","4.5","1.3","10,296","139","95.5","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01023","Choctaw County, AL","2,645","0","108","29","4.1","1.1","2,537","29","95.9","1.1"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01025","Clarke County, AL","5,367","0","166","46","3.1","0.9","5,201","46","96.9","0.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01027","Clay County, AL","2,780","0","128","36","4.6","1.3","2,652","36","95.4","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01029","Cleburne County, AL","3,534","0","145","41","4.1","1.2","3,389","41","95.9","1.2"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01031","Coffee County, AL","12,767","0","436","113","3.4","0.9","12,331","113","96.6","0.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01033","Colbert County, AL","11,854","0","341","90","2.9","0.8","11,513","90","97.1","0.8"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01035","Conecuh County, AL","2,586","0","87","26","3.4","1.0","2,499","26","96.6","1.0"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01037","Coosa County, AL","1,812","0","80","24","4.4","1.3","1,732","24","95.6","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01039","Covington County, AL","8,359","0","305","85","3.6","1.0","8,054","85","96.4","1.0"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01041","Crenshaw County, AL","3,233","0","143","42","4.4","1.3","3,090","42","95.6","1.3"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01043","Cullman County, AL","19,456","0","732","184","3.8","0.9","18,724","184","96.2","0.9"
"Under 19 years","All Incomes","All Races","Both Sexes","2018","01045","Dale County, AL","11,558","0","320","90","2.8","0.8","11,238","90","97.2","0.8"
