Year,Survey,LocationDesc,DataSource,Topic,Question,StratificationCategory,Stratification,Median,Minimum,Maximum,DataValueUnit,DataValue,LowCI,HighCI,Footnote1,Footnote2,Footnote3,Footnote4,TopicID,QuestionID
2019,State,Alabama,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,26.7,22.7,31.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Alabama,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,23.2,18.3,28.9,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Alabama,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,29.2,25.3,33.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Alaska,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,33.7,30.0,37.7,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Alaska,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,32.7,27.9,37.9,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Alaska,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,34.0,28.8,39.5,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arizona,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,20.7,16.8,25.2,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arizona,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,19.1,15.3,23.7,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arizona,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,22.2,17.4,27.9,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arkansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,29.2,25.3,33.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arkansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,23.8,19.8,28.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Arkansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,34.1,28.4,40.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Connecticut,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,28.7,24.4,33.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Connecticut,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,31.4,25.9,37.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Connecticut,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,26.1,22.2,30.5,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Georgia,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,21.0,17.5,25.0,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Georgia,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,19.0,14.4,24.6,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Georgia,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,21.9,18.3,26.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Idaho,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,22.8,20.2,25.6,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Idaho,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,20.1,16.4,24.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Idaho,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,25.6,22.3,29.2,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Illinois,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,22.7,19.6,26.2,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Illinois,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,19.7,15.6,24.6,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Illinois,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,24.9,20.9,29.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Iowa,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,22.7,19.4,26.4,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Iowa,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,20.2,16.0,25.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Iowa,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,24.6,21.0,28.6,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,25.8,22.7,29.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,24.3,19.3,30.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kansas,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,26.8,23.0,31.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kentucky,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,29.7,25.7,34.0,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kentucky,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,26.5,21.6,32.0,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Kentucky,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,32.3,27.8,37.1,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Louisiana,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,29.7,24.3,35.7,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Louisiana,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,25.6,20.1,32.0,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Louisiana,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,33.8,26.7,41.8,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maine,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,33.0,31.7,34.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maine,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,33.1,31.5,34.8,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maine,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,32.4,30.6,34.2,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maryland,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,27.4,26.2,28.6,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maryland,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Female,24.6,10.4,38.2,%,26.0,24.6,27.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Maryland,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Male,28.9,11.1,42.1,%,27.9,26.5,29.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
2019,State,Massachusetts,YRBS,Tobacco Use,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products,Sex,Total,27.6,10.7,40.6,%,37.0,32.9,41.3,*On at least 1 day during the 30 days before the survey.,,,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C02,QNTB4
