"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"79468","2012","2012","2012","AL","Alabama","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","15.6","","","15.3","16.0","45,787","32.84057112200048","-86.63186076199969","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"79652","2012","2012","2012","AK","Alaska","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","20.6","","","19.8","21.5","9,019","64.84507995700051","-147.72205903599973","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"79170","2012","2012","2012","AZ","Arizona","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","14.9","","","14.6","15.2","61,419","34.865970280000454","-111.76381127699972","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"79518","2012","2012","2012","AR","Arkansas","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","14.6","","","14.2","15.0","33,058","34.74865012400045","-92.27449074299966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"79703","2012","2012","2012","CA","California","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","17.6","","","17.5","17.7","620,016","37.63864012300047","-120.99999953799971","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"80136","2012","2012","2012","CO","Colorado","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","8.9","","","8.6","9.2","37,421","38.843840757000464","-106.13361092099967","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"79821","2012","2012","2012","CT","Connecticut","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.6","","","16.1","17.1","21,860","41.56266102000046","-72.64984095199964","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"79838","2012","2012","2012","DE","Delaware","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","16.9","","","16.1","17.7","7,642","39.008830667000495","-75.57774116799965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"79355","2012","2012","2012","DC","District of Columbia","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","14.4","","","13.4","15.3","5,452","38.89037138500049","-77.03196112699965","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"79958","2012","2012","2012","FL","Florida","WIC","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC children aged 2 to 4 years who have obesity †","","","VALUE","Value","13.7","","","13.6","13.9","171,876","28.932040377000476","-81.92896053899966","OWS","OWS1","Q041","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
