"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01000","Alabama","2,887,210","0","437,392","12,567","15.1","0.4","2,449,818","12,567","84.9","0.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01001","Autauga County, AL","33,664","0","4,379","546","13.0","1.6","29,285","546","87.0","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01003","Baldwin County, AL","125,234","0","20,981","1,936","16.8","1.5","104,253","1,936","83.2","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01005","Barbour County, AL","12,137","0","2,145","264","17.7","2.2","9,992","264","82.3","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01007","Bibb County, AL","12,219","0","1,641","226","13.4","1.8","10,578","226","86.6","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01009","Blount County, AL","33,845","0","6,070","632","17.9","1.9","27,775","632","82.1","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01011","Bullock County, AL","4,840","0","764","109","15.8","2.3","4,076","109","84.2","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01013","Butler County, AL","11,226","0","1,720","229","15.3","2.0","9,506","229","84.7","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01015","Calhoun County, AL","67,534","0","9,516","1,036","14.1","1.5","58,018","1,036","85.9","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01017","Chambers County, AL","19,882","0","2,913","377","14.7","1.9","16,969","377","85.3","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01019","Cherokee County, AL","14,988","0","2,512","297","16.8","2.0","12,476","297","83.2","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01021","Chilton County, AL","26,045","0","5,484","590","21.1","2.3","20,561","590","78.9","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01023","Choctaw County, AL","7,274","0","1,221","145","16.8","2.0","6,053","145","83.2","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01025","Clarke County, AL","13,825","0","2,220","278","16.1","2.0","11,605","278","83.9","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01027","Clay County, AL","7,737","0","1,533","186","19.8","2.4","6,204","186","80.2","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01029","Cleburne County, AL","8,580","0","1,489","182","17.4","2.1","7,091","182","82.6","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01031","Coffee County, AL","30,689","0","4,963","525","16.2","1.7","25,726","525","83.8","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01033","Colbert County, AL","32,356","0","4,630","563","14.3","1.7","27,726","563","85.7","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01035","Conecuh County, AL","6,898","0","1,088","146","15.8","2.1","5,810","146","84.2","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01037","Coosa County, AL","6,256","0","930","126","14.9","2.0","5,326","126","85.1","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01039","Covington County, AL","20,943","0","3,242","381","15.5","1.8","17,701","381","84.5","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01041","Crenshaw County, AL","8,012","0","1,285","159","16.0","2.0","6,727","159","84.0","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01043","Cullman County, AL","48,831","0","8,641","885","17.7","1.8","40,190","885","82.3","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01045","Dale County, AL","28,754","0","4,087","513","14.2","1.8","24,667","513","85.8","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01047","Dallas County, AL","21,939","0","3,273","430","14.9","2.0","18,666","430","85.1","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01049","DeKalb County, AL","41,607","0","10,189","927","24.5","2.2","31,418","927","75.5","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01051","Elmore County, AL","46,834","0","5,894","714","12.6","1.5","40,940","714","87.4","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01053","Escambia County, AL","19,421","0","3,789","438","19.5","2.3","15,632","438","80.5","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01055","Etowah County, AL","59,846","0","9,542","970","15.9","1.6","50,304","970","84.1","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01057","Fayette County, AL","9,387","0","1,462","187","15.6","2.0","7,925","187","84.4","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01059","Franklin County, AL","18,280","0","3,841","432","21.0","2.4","14,439","432","79.0","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01061","Geneva County, AL","15,141","0","2,752","318","18.2","2.1","12,389","318","81.8","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01063","Greene County, AL","4,532","0","676","99","14.9","2.2","3,856","99","85.1","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01065","Hale County, AL","8,393","0","1,228","169","14.6","2.0","7,165","169","85.4","2.0"
