"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",140.3,"122.1 - 152.8 (50)"
48005,"""Angelina, (TX)""",129.1,"122.1 - 152.8 (50)"
48007,"""Aransas, (TX)""",109.6,"108.9 - 122.0 (51)"
48013,"""Atascosa, (TX)""",98.4,"97.5 - 108.8 (51)"
48015,"""Austin, (TX)""",84.5,"47.9 - 85.9 (51)"
48019,"""Bandera, (TX)""",85.9,"47.9 - 85.9 (51)"
48021,"""Bastrop, (TX)""",83.7,"47.9 - 85.9 (51)"
48025,"""Bee, (TX)""",121.8,"108.9 - 122.0 (51)"
48027,"""Bell, (TX)""",87,"86.0 - 97.4 (51)"
48029,"""Bexar, (TX)""",89.6,"86.0 - 97.4 (51)"
48031,"""Blanco, (TX)""",55.2,"47.9 - 85.9 (51)"
48035,"""Bosque, (TX)""",108.7,"97.5 - 108.8 (51)"
48039,"""Brazoria, (TX)""",84.3,"47.9 - 85.9 (51)"
48041,"""Brazos, (TX)""",77.4,"47.9 - 85.9 (51)"
48043,"""Brewster, (TX)""",71.1,"47.9 - 85.9 (51)"
48047,"""Brooks, (TX)""",122,"108.9 - 122.0 (51)"
48049,"""Brown, (TX)""",106.3,"97.5 - 108.8 (51)"
48051,"""Burleson, (TX)""",141.8,"122.1 - 152.8 (50)"
48053,"""Burnet, (TX)""",66.9,"47.9 - 85.9 (51)"
48055,"""Caldwell, (TX)""",119.7,"108.9 - 122.0 (51)"
48057,"""Calhoun, (TX)""",107.6,"97.5 - 108.8 (51)"
48061,"""Cameron, (TX)""",83.6,"47.9 - 85.9 (51)"
48071,"""Chambers, (TX)""",106.6,"97.5 - 108.8 (51)"
48073,"""Cherokee, (TX)""",123.4,"122.1 - 152.8 (50)"
48081,"""Coke, (TX)""",81.7,"47.9 - 85.9 (51)"
48083,"""Coleman, (TX)""",118.3,"108.9 - 122.0 (51)"
48089,"""Colorado, (TX)""",103.1,"97.5 - 108.8 (51)"
48091,"""Comal, (TX)""",66.5,"47.9 - 85.9 (51)"
48093,"""Comanche, (TX)""",101.6,"97.5 - 108.8 (51)"
48095,"""Concho, (TX)""",96.4,"86.0 - 97.4 (51)"
48099,"""Coryell, (TX)""",101.9,"97.5 - 108.8 (51)"
48103,"""Crane, (TX)""",111.3,"108.9 - 122.0 (51)"
48105,"""Crockett, (TX)""",97.3,"86.0 - 97.4 (51)"
48109,"""Culberson, (TX)""",98.4,"97.5 - 108.8 (51)"
48123,"""DeWitt, (TX)""",98.7,"97.5 - 108.8 (51)"
48127,"""Dimmit, (TX)""",98.1,"97.5 - 108.8 (51)"
48131,"""Duval, (TX)""",131,"122.1 - 152.8 (50)"
48135,"""Ector, (TX)""",113.7,"108.9 - 122.0 (51)"
48137,"""Edwards, (TX)""",89.8,"86.0 - 97.4 (51)"
48141,"""El Paso, (TX)""",70.7,"47.9 - 85.9 (51)"
48145,"""Falls, (TX)""",111,"108.9 - 122.0 (51)"
48149,"""Fayette, (TX)""",89.5,"86.0 - 97.4 (51)"
48157,"""Fort Bend, (TX)""",53.9,"47.9 - 85.9 (51)"
48161,"""Freestone, (TX)""",124.9,"122.1 - 152.8 (50)"
48163,"""Frio, (TX)""",125,"122.1 - 152.8 (50)"
48167,"""Galveston, (TX)""",88.9,"86.0 - 97.4 (51)"
48171,"""Gillespie, (TX)""",68.2,"47.9 - 85.9 (51)"
48173,"""Glasscock, (TX)""",95.4,"86.0 - 97.4 (51)"
48175,"""Goliad, (TX)""",106.2,"97.5 - 108.8 (51)"
48177,"""Gonzales, (TX)""",88.2,"86.0 - 97.4 (51)"
48185,"""Grimes, (TX)""",95,"86.0 - 97.4 (51)"
48187,"""Guadalupe, (TX)""",79.2,"47.9 - 85.9 (51)"
48193,"""Hamilton, (TX)""",97.3,"86.0 - 97.4 (51)"
48199,"""Hardin, (TX)""",129.8,"122.1 - 152.8 (50)"
48201,"""Harris, (TX)""",83,"47.9 - 85.9 (51)"
48209,"""Hays, (TX)""",58.3,"47.9 - 85.9 (51)"
48215,"""Hidalgo, (TX)""",83.6,"47.9 - 85.9 (51)"
48217,"""Hill, (TX)""",112.7,"108.9 - 122.0 (51)"
48225,"""Houston, (TX)""",130.1,"122.1 - 152.8 (50)"
48229,"""Hudspeth, (TX)""",75.5,"47.9 - 85.9 (51)"
48235,"""Irion, (TX)""",80,"47.9 - 85.9 (51)"
48239,"""Jackson, (TX)""",109.1,"108.9 - 122.0 (51)"
48241,"""Jasper, (TX)""",135.1,"122.1 - 152.8 (50)"
48243,"""Jeff Davis, (TX)""",81.4,"47.9 - 85.9 (51)"
48245,"""Jefferson, (TX)""",134.9,"122.1 - 152.8 (50)"
48247,"""Jim Hogg, (TX)""",91.8,"86.0 - 97.4 (51)"
48249,"""Jim Wells, (TX)""",148.8,"122.1 - 152.8 (50)"
48255,"""Karnes, (TX)""",110.3,"108.9 - 122.0 (51)"
48259,"""Kendall, (TX)""",75.4,"47.9 - 85.9 (51)"
48261,"""Kenedy, (TX)""",87.6,"86.0 - 97.4 (51)"
48265,"""Kerr, (TX)""",74.8,"47.9 - 85.9 (51)"
48267,"""Kimble, (TX)""",80,"47.9 - 85.9 (51)"
48271,"""Kinney, (TX)""",90.1,"86.0 - 97.4 (51)"
48273,"""Kleberg, (TX)""",133,"122.1 - 152.8 (50)"
48281,"""Lampasas, (TX)""",81.7,"47.9 - 85.9 (51)"
48283,"""La Salle, (TX)""",106.8,"97.5 - 108.8 (51)"
48285,"""Lavaca, (TX)""",98.4,"97.5 - 108.8 (51)"
48287,"""Lee, (TX)""",77.5,"47.9 - 85.9 (51)"
48289,"""Leon, (TX)""",95.2,"86.0 - 97.4 (51)"
48291,"""Liberty, (TX)""",142.5,"122.1 - 152.8 (50)"
48293,"""Limestone, (TX)""",113.6,"108.9 - 122.0 (51)"
48297,"""Live Oak, (TX)""",87.9,"86.0 - 97.4 (51)"
48299,"""Llano, (TX)""",68.4,"47.9 - 85.9 (51)"
48301,"""Loving, (TX)""",110.5,"108.9 - 122.0 (51)"
48307,"""McCulloch, (TX)""",113.4,"108.9 - 122.0 (51)"
48309,"""McLennan, (TX)""",109.6,"108.9 - 122.0 (51)"
48311,"""McMullen, (TX)""",85.4,"47.9 - 85.9 (51)"
