Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2008,2008 Annual,Air Pollution,Alabama,43,14.1,0.7,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Alaska,5,7.2,-1.85,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Arizona,23,10.6,-0.59,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Arkansas,31,12.3,0.04,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,California,49,14.7,0.92,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Colorado,8,7.8,-1.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Connecticut,30,12.2,0,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Delaware,47,14.6,0.89,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Florida,16,9.3,-1.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Georgia,49,14.7,0.92,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Hawaii,1,4.6,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Idaho,6,7.6,-1.7,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Illinois,47,14.6,0.89,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Indiana,46,14.4,0.81,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Iowa,24,10.9,-0.48,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Kansas,22,10.4,-0.67,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Kentucky,41,13.8,0.59,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Louisiana,31,12.3,0.04,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Maine,18,9.7,-0.92,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Maryland,36,12.9,0.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Massachusetts,19,10.2,-0.74,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Michigan,38,13,0.3,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
2008,2008 Annual,Air Pollution,Minnesota,12,8.7,-1.29,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2005-2007
