Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2014,2014 Senior,Able-bodied,Alaska,41,59.5,-1.2,62.6,56.4,AHR data,
2014,2014 Senior,Able-bodied,Alabama,48,56.9,-1.9,57.7,56.1,AHR data,
2014,2014 Senior,Able-bodied,United States,,63.6,,63.8,63.4,AHR data,
2014,2014 Senior,Able-bodied,Arkansas,46,57.4,-1.8,58.6,56.2,AHR data,
2014,2014 Senior,Able-bodied,Arizona,9,66.7,0.9,67.7,65.7,AHR data,
2014,2014 Senior,Able-bodied,California,28,63.3,-0.1,63.7,62.9,AHR data,
2014,2014 Senior,Able-bodied,Colorado,10,66.4,0.8,67.4,65.4,AHR data,
2014,2014 Senior,Able-bodied,Connecticut,5,67.4,1.1,68.6,66.2,AHR data,
2014,2014 Senior,Able-bodied,District of Columbia,,65.3,,68.2,62.4,AHR data,
2014,2014 Senior,Able-bodied,Delaware,2,67.8,1.2,70.2,65.4,AHR data,
2014,2014 Senior,Able-bodied,Florida,13,66.1,0.7,66.7,65.5,AHR data,
2014,2014 Senior,Able-bodied,Georgia,39,61.3,-0.7,62.1,60.5,AHR data,
2014,2014 Senior,Able-bodied,Hawaii,13,66.1,0.7,67.9,64.3,AHR data,
2014,2014 Senior,Able-bodied,Iowa,4,67.5,1.1,68.5,66.5,AHR data,
2014,2014 Senior,Able-bodied,Idaho,34,62.5,-0.3,64.3,60.7,AHR data,
2014,2014 Senior,Able-bodied,Illinois,21,65,0.4,65.6,64.4,AHR data,
2014,2014 Senior,Able-bodied,Indiana,31,63.1,-0.1,64.1,62.1,AHR data,
2014,2014 Senior,Able-bodied,Kansas,27,63.5,0,64.7,62.3,AHR data,
2014,2014 Senior,Able-bodied,Kentucky,45,57.6,-1.7,58.6,56.6,AHR data,
2014,2014 Senior,Able-bodied,Louisiana,47,57.2,-1.8,58.2,56.2,AHR data,
2014,2014 Senior,Able-bodied,Massachusetts,10,66.4,0.8,67.2,65.6,AHR data,
2014,2014 Senior,Able-bodied,Maryland,8,66.8,0.9,67.8,65.8,AHR data,
2014,2014 Senior,Able-bodied,Maine,33,63,-0.2,64.4,61.6,AHR data,
2014,2014 Senior,Able-bodied,Michigan,28,63.3,-0.1,63.9,62.7,AHR data,
2014,2014 Senior,Able-bodied,Minnesota,1,68.2,1.3,69,67.4,AHR data,
2014,2014 Senior,Able-bodied,Missouri,38,61.9,-0.5,62.7,61.1,AHR data,
2014,2014 Senior,Able-bodied,Mississippi,50,54.8,-2,56.2,53.4,AHR data,
2014,2014 Senior,Able-bodied,Montana,30,63.2,-0.1,65,61.4,AHR data,
2014,2014 Senior,Able-bodied,North Carolina,36,62.3,-0.4,63.1,61.5,AHR data,
2014,2014 Senior,Able-bodied,North Dakota,19,65.3,0.5,67.5,63.1,AHR data,
2014,2014 Senior,Able-bodied,Nebraska,17,65.5,0.5,66.9,64.1,AHR data,
