ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
48,TEXAS,TX,Carson,48065,"Carson County, Texas",920.2344354,6032,0,2793,19,2247,90,378,118,68,62,32917,2698,258,60,1057,24,1541,20,654,120,184,63,846,19,31,73,21,32,334,90,9,8,27,25,48,24,6.3,2.0,2.3,2.1,32917.0,2698.0,6.4,1.5,17.5,0.4,25.5,0.3,10.9,2.0,8.2,2.8,14.0,0.3,0.5,1.3,0.8,1.2,12.0,3.2,0.4,0.4,1.2,1.1,0.8,0.4,0.0158,0.0949,0.0751,0.004,0.1898,0.004,0.5415,0.6245,0.1225,0.4506,1.7391,0.2964,0.0277,0.0553,0.083,0.0198,0.2727,0.3834,0.0277,0.0356,0.1502,0.8696,0.0198,2.8815,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,174,11.4,2.9,7981
48,TEXAS,TX,Archer,48009,"Archer County, Texas",903.2885707,8789,0,4150,34,3332,122,806,222,157,50,31806,2049,558,96,1694,29,1912,6,1367,143,215,65,1017,19,79,75,8,22,387,91,50,31,124,50,76,58,9.3,2.6,3.5,1.1,31806.0,2049.0,9.0,1.5,19.3,0.3,21.8,0.1,15.7,1.6,6.5,2.0,11.6,0.2,0.9,0.9,0.2,0.5,9.3,2.2,1.5,0.9,3.7,1.5,0.9,0.7,0.1067,0.2016,0.0988,0.0395,0.4466,0.0474,0.6838,0.2451,0.4941,0.1897,1.6127,0.1937,0.0119,0.087,0.0989,0.0277,0.0909,0.2292,0.0711,0.2648,0.1937,0.8497,0.0079,3.0079,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,189,11.4,2.2,6079
48,TEXAS,TX,Rockwall,48397,"Rockwall County, Texas",127.1099387,93642,0,33038,86,31649,294,5267,851,2074,360,39295,1240,4761,506,11091,152,25707,0,7958,686,2078,362,26596,79,1842,404,1482,310,1619,313,625,194,844,219,644,216,5.7,0.9,4.3,0.7,39295.0,1240.0,7.9,0.8,11.8,0.2,27.5,0.0,8.6,0.7,6.6,1.1,28.4,0.1,2.1,0.5,4.5,0.9,4.9,0.9,2.0,0.6,2.7,0.7,0.7,0.2,0.0119,0.3004,0.0237,0.0316,0.3676,0.0277,0.1265,0.8142,0.0316,0.2016,1.1739,0.0514,0.2846,0.249,0.5336,0.249,0.7826,0.0632,0.1186,0.1265,0.1265,1.2174,0.0553,3.2925,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10446,1077,11.2,1.2,71032
48,TEXAS,TX,Armstrong,48011,"Armstrong County, Texas",909.1086939,1916,125,932,31,708,58,135,65,9,10,31075,3001,164,50,400,44,396,59,234,59,48,31,179,163,18,50,4,13,126,41,18,22,8,8,63,53,7.3,3.6,0.9,1.1,31075.0,3001.0,11.6,3.4,20.9,2.4,20.7,2.8,12.6,3.0,6.8,4.5,9.3,8.5,1.0,2.8,0.4,1.5,13.5,4.3,2.5,3.1,1.1,1.2,3.3,2.8,0.0474,0.0158,0.1265,0.1186,0.3083,0.0119,0.747,0.166,0.2292,0.2451,1.3873,0.1146,0.0,0.1028,0.1028,0.0356,0.1779,0.4664,0.2134,0.0316,0.6759,1.5652,0.1146,3.3636,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,53,7.6,2.6,1354
48,TEXAS,TX,Borden,48033,"Borden County, Texas",897.4423895,665,119,441,38,261,47,17,10,6,7,33781,4189,32,18,173,45,172,57,154,47,11,11,70,162,0,52,0,18,78,28,1,13,5,5,0,13,2.6,1.4,2.1,2.4,33781.0,4189.0,6.9,3.9,26.0,6.7,25.9,7.2,23.2,5.4,4.2,4.4,10.5,24.4,0.0,9.0,0.0,4.2,17.7,6.0,0.4,5.2,1.9,1.9,0.0,2.0,0.0,0.0711,0.0632,0.0119,0.1462,0.0,0.9249,0.664,0.9368,0.0514,2.5771,0.8735,0.0079,0.0,0.0079,0.0,0.0,0.6522,0.0277,0.0474,0.0,0.7273,0.004,3.4585,0.0158,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,31,20,4.7,2.9,586
48,TEXAS,TX,Roberts,48393,"Roberts County, Texas",924.0573235,885,125,411,26,311,39,106,63,5,8,31632,4476,51,28,200,36,277,79,124,36,27,18,159,163,0,52,0,18,31,17,0,18,11,10,0,13,12.2,6.9,1.3,2.2,31632.0,4476.0,9.0,4.8,22.6,4.7,31.3,7.8,14.0,4.0,8.7,5.8,18.0,18.3,0.0,6.1,0.0,4.5,7.5,4.2,0.0,5.9,3.5,3.1,0.0,1.5,0.2332,0.0395,0.1067,0.0395,0.4189,0.0356,0.8261,0.9407,0.3399,0.5178,2.6245,0.8972,0.0791,0.0,0.0791,0.0158,0.0,0.1581,0.0,0.2292,0.0,0.3873,0.0,3.5098,0.0198,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,73,33,8.2,3.6,717
48,TEXAS,TX,Collin,48085,"Collin County, Texas",841.2755242,944350,0,351573,491,331336,1523,61635,3125,19998,1031,43439,452,39131,2010,98040,30,250994,0,65146,1942,24767,1298,396947,636,35718,1897,66251,1670,5573,456,7732,611,8951,685,3495,1311,6.6,0.3,3.9,0.2,43439.0,452.0,6.3,0.3,10.4,0.1,26.6,0.0,6.9,0.2,7.5,0.4,42.0,0.1,4.0,0.2,18.8,0.5,1.6,0.1,2.3,0.2,2.7,0.2,0.4,0.1,0.0277,0.2332,0.0,0.0,0.2609,0.0079,0.0593,0.7312,0.004,0.336,1.1305,0.0395,0.5257,0.5573,1.083,0.5613,0.9881,0.004,0.1542,0.1265,0.0632,1.336,0.0711,3.8104,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,97825,3476,10.4,0.4,782759
48,TEXAS,TX,Randall,48381,"Randall County, Texas",911.9253304,132475,0,54389,156,49187,521,11236,1226,2366,354,33814,718,7072,545,18914,117,31948,29,15194,853,3899,402,36461,82,1602,362,5718,567,3949,366,1053,222,1408,239,2366,367,8.7,0.9,3.3,0.5,33814.0,718.0,8.1,0.6,14.3,0.1,24.1,0.0,11.5,0.6,7.9,0.8,27.5,0.1,1.3,0.3,10.5,1.0,7.3,0.7,2.1,0.5,2.9,0.5,1.8,0.3,0.083,0.17,0.0593,0.0356,0.3479,0.0198,0.3241,0.498,0.1462,0.3992,1.3675,0.0909,0.2688,0.1462,0.415,0.17,0.9051,0.1542,0.1344,0.1502,0.5178,1.8617,0.1937,3.9921,0.0277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,14055,1407,10.7,1.1,90111
48,TEXAS,TX,Baylor,48023,"Baylor County, Texas",867.4802971,3591,0,2623,113,1474,121,382,126,37,35,25264,3206,290,98,872,89,800,80,720,142,62,38,541,171,0,52,9,19,269,103,0,18,32,25,74,93,10.9,3.6,2.4,2.3,25264.0,3206.0,11.5,3.8,24.3,2.5,22.3,2.2,20.5,3.9,4.2,2.6,15.1,4.8,0.0,1.5,0.3,0.7,10.3,3.9,0.0,1.2,2.2,1.6,2.1,2.6,0.1739,0.1028,0.4901,0.1107,0.8775,0.1146,0.8814,0.2767,0.834,0.0514,2.0435,0.5375,0.0474,0.0,0.0474,0.0079,0.1383,0.2767,0.0,0.0632,0.5771,1.0553,0.0435,4.0237,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,147,13.1,4.2,3397
48,TEXAS,TX,Comal,48091,"Comal County, Texas",559.5118777,135097,0,55849,96,48903,629,10997,1246,2362,381,36899,928,7102,578,23967,115,30940,0,18597,1056,3376,450,43128,196,2575,532,4897,540,6025,490,1195,254,1600,273,1074,219,8.2,0.9,3.7,0.6,36899.0,928.0,7.6,0.6,17.7,0.1,22.9,0.0,13.9,0.8,6.9,0.9,31.9,0.1,2.0,0.4,8.8,1.0,10.8,0.9,2.4,0.5,3.3,0.6,0.8,0.2,0.0672,0.2253,0.0316,0.0277,0.3518,0.0237,0.5494,0.336,0.3162,0.2648,1.4664,0.1462,0.332,0.2134,0.5454,0.2569,0.8775,0.3123,0.1858,0.2016,0.1502,1.7274,0.1542,4.091,0.0356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16463,1199,12.3,0.9,130609
