Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
US,19.6,20.3,21.2,20.6,20.1,19.9,16.0,12.8,11.7,11.7,11.9
AL,19.8,20.5,21.6,21.7,21.7,21.5,18.5,15.0,14.1,14.3,15.0
AK,24.3,24.5,19.9,21.5,23.8,24.4,20.7,16.7,18.7,15.0,14.0
AZ,23.3,22.6,22.9,23.0,22.1,23.2,18.0,14.4,12.8,13.0,14.6
AR,26.7,26.2,27.4,27.4,24.9,24.7,17.8,14.2,12.4,10.8,11.3
CA,22.1,23.2,23.9,23.5,22.9,22.2,16.2,10.8,9.3,8.8,8.8
CO,21.5,19.8,20.3,19.1,18.1,18.0,13.3,10.3,9.1,9.7,8.9
CT,11.6,11.4,11.6,9.9,11.7,11.6,8.3,8.0,6.6,7.0,6.9
DE,13.0,12.8,11.6,11.4,10.1,12.4,7.8,7.6,6.8,7.5,7.3
DC,6.5,6.3,7.4,7.2,6.2,5.5,4.1,3.0,3.6,2.9,3.6
FL,28.1,28.9,30.1,29.2,28.2,27.9,23.1,18.8,17.6,18.0,18.8
GA,24.6,25.7,27.2,27.0,26.3,26.1,22.3,19.8,18.3,19.0,19.4
HI,7.8,8.3,9.4,8.4,7.3,9.5,6.1,5.2,5.0,5.5,4.8
ID,25.2,23.8,25.5,21.6,23.1,22.7,20.9,15.8,15.1,16.5,16.2
IL,16.3,17.0,18.0,16.4,16.6,16.1,12.5,9.1,8.4,9.1,9.6
IN,18.7,19.1,21.3,20.4,20.7,19.7,17.5,13.7,11.2,11.1,11.9
IA,12.1,12.8,12.8,13.6,11.9,11.9,8.0,7.1,5.1,5.5,6.2
KS,17.0,18.3,20.2,19.3,19.7,19.1,16.2,13.8,12.1,11.3,12.6
KY,18.9,22.4,22.3,21.9,19.8,22.3,12.7,7.6,6.5,7.0,7.5
LA,24.6,25.5,25.6,25.7,24.4,24.2,21.1,17.6,13.8,10.2,9.8
ME,11.6,12.0,13.4,12.4,12.5,14.9,13.6,11.8,9.2,11.0,9.9
MD,14.8,14.2,15.0,12.7,13.3,13.1,10.5,8.6,8.1,7.7,7.6
MA,3.9,4.8,4.9,4.6,4.3,4.3,3.6,3.3,2.4,3.1,3.0
MI,14.6,16.5,16.9,16.2,15.6,15.2,11.3,7.9,6.9,6.1,6.8
MN,10.4,11.1,11.5,11.0,10.5,10.4,7.3,5.7,5.5,5.6,4.7
MS,23.6,24.6,26.6,26.0,25.3,24.4,21.2,18.1,16.8,17.2,17.7
MO,17.6,19.2,19.3,20.1,19.8,18.7,17.0,13.6,13.2,13.1,13.3
MT,22.6,25.6,24.4,24.6,24.9,22.5,19.2,15.6,10.0,11.3,9.3
NE,14.0,16.2,17.7,17.2,17.2,15.9,13.7,11.6,12.8,12.3,12.3
NV,27.3,29.0,30.0,28.2,29.2,28.2,19.9,17.4,14.6,15.1,15.2
NH,15.3,14.8,15.2,14.3,14.2,15.6,12.4,8.6,8.7,7.4,6.4
NJ,16.1,16.7,17.2,17.2,16.7,18.8,15.0,11.6,10.3,10.9,10.1
NM,29.2,28.0,28.2,28.2,26.3,28.2,20.6,14.5,11.2,12.4,12.3
NY,14.5,14.8,15.4,14.6,13.9,13.4,11.0,8.8,7.5,7.0,6.4
NC,21.1,21.4,23.4,22.6,23.0,22.6,18.7,16.0,14.9,14.9,14.8
ND,11.9,12.2,12.2,13.7,15.9,14.0,11.1,9.2,10.8,10.4,9.1
OH,15.2,15.9,16.2,15.0,14.9,14.2,10.3,7.8,6.6,7.3,8.1
OK,26.3,26.7,27.9,25.9,26.2,25.7,22.5,21.0,20.2,20.3,19.6
OR,21.8,24.0,23.8,22.3,20.2,20.0,13.1,9.5,7.7,8.8,9.7
PA,12.6,12.9,14.1,13.7,12.8,13.1,11.8,8.0,7.3,6.9,7.2
RI,12.4,13.6,15.0,13.2,13.8,14.8,9.0,6.3,5.1,5.8,5.7
SC,21.6,23.2,23.4,23.1,23.0,22.8,19.8,14.6,13.6,15.6,14.0
SD,15.2,18.8,17.3,19.3,16.3,18.8,13.9,16.1,10.3,12.1,11.8
TN,16.9,18.9,19.1,19.2,17.9,17.9,15.6,13.1,11.6,11.5,13.0
TX,32.2,32.5,33.2,32.3,31.6,30.9,27.1,24.4,24.1,24.4,24.7
UT,18.1,17.4,20.3,19.0,18.8,17.4,15.8,14.1,10.5,10.9,11.1
VT,11.3,10.6,8.8,6.8,7.4,7.2,5.4,4.6,3.2,4.9,4.6
VA,15.5,15.8,17.2,16.8,16.5,16.5,14.4,12.5,11.8,11.7,10.9
WA,16.5,18.2,19.5,20.0,19.4,20.3,12.2,8.7,7.8,7.9,8.3
WV,24.4,23.4,23.8,24.0,21.6,22.8,12.5,7.0,6.1,7.5,8.7
WI,11.1,11.3,11.9,11.1,11.8,11.2,9.7,7.3,7.1,6.5,7.9
WY,19.4,21.6,22.4,19.1,23.6,18.7,15.4,13.1,12.9,17.3,14.2

