year,race,value
2009,White,11
2010,White,10.3
2011,White,9.8
2012,White,9.2
2013,White,9.1
2014,White,8.1
2015,White,7.6
2016,White,6.9
2017,White,6.3
2018,White,5.9
2009,Black,5.4
2010,Black,5.1
2011,Black,4.7
2012,Black,4.7
2013,Black,4.4
2014,Black,4.1
2015,Black,3.6
2016,Black,3.4
2017,Black,3.1
2018,Black,2.7
2009,Hispanic,1.3
2010,Hispanic,1.3
2011,Hispanic,1.2
2012,Hispanic,1.2
2013,Hispanic,1.2
2014,Hispanic,1.1
2015,Hispanic,1
2016,Hispanic,1
2017,Hispanic,0.9
2018,Hispanic,0.9
2009,Other,1.5
2010,Other,1.6
2011,Other,1.5
2012,Other,2.1
2013,Other,2
2014,Other,1.9
2015,Other,1.6
2016,Other,1.3
2017,Other,1.3
2018,Other,1.3
2009,Texas,5.1
2010,Texas,4.9
2011,Texas,4.6
2012,Texas,4.4
2013,Texas,4.3
2014,Texas,3.9
2015,Texas,3.6
2016,Texas,3.3
2017,Texas,3
2018,Texas,2.7
